Date,Price,Price_scaled,Price_delta,Tweets,Agg_count,Agg_retweet,Agg_favorite,Subjectivity_mean,Polarity_mean,Polarity_scaled,Polarity_delta,Favorite_scaled,Retweet_scaled
2019-01-02,10.02,0.053650124544931975,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,10.0,0.053266909369611044,-0.00038321517532093063,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04,10.04,0.05403333972025291,0.0007664303506418682,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,10.03,0.05384173213259245,-0.00019160758766046532,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-08,10.04,0.05403333972025291,0.00019160758766046532,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-09,10.06,0.054416554895573885,0.00038321517532097227,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-10,10.04,0.05403333972025291,-0.00038321517532097227,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-11,10.04,0.05403333972025291,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-14,10.03,0.05384173213259245,-0.00019160758766046532,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-15,10.03,0.05384173213259245,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-16,10.06,0.054416554895573885,0.0005748227629814376,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-17,10.04,0.05403333972025291,-0.00038321517532097227,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-18,10.06,0.054416554895573885,0.00038321517532097227,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-22,10.03,0.05384173213259245,-0.0005748227629814376,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-23,10.06,0.054416554895573885,0.0005748227629814376,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-24,10.06,0.054416554895573885,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-25,10.05,0.05422494730791341,-0.00019160758766047226,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-28,10.08,0.054799770070894815,0.0005748227629814029,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-29,10.05,0.05422494730791341,-0.0005748227629814029,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-30,10.069,0.05458900172446831,0.0003640544165548973,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,10.05,0.05422494730791341,-0.0003640544165548973,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,10.1,0.05518298524621575,0.0009580379383023405,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
